{ year:2014, hour: 22, Pos: 40, Neg: 28, Neut: 31, tPos: 5839, TNeg: 4131, TNeut: 4539 } 
{ year:2014, hour: 23, Pos: 39, Neg: 28, Neut: 31, tPos: 9293, TNeg: 6701, TNeut: 7339 } 
{ year:2015, hour: 0, Pos: 34, Neg: 29, Neut: 36, tPos: 38791, TNeg: 33297, TNeut: 40961 } 
{ year:2015, hour: 1, Pos: 34, Neg: 29, Neut: 35, tPos: 38568, TNeg: 33377, TNeut: 40453 } 
{ year:2015, hour: 2, Pos: 35, Neg: 29, Neut: 35, tPos: 19263, TNeg: 15760, TNeut: 19298 } 
{ year:2015, hour: 3, Pos: 34, Neg: 29, Neut: 36, tPos: 19419, TNeg: 16624, TNeut: 20315 } 
{ year:2015, hour: 4, Pos: 34, Neg: 29, Neut: 36, tPos: 20083, TNeg: 16962, TNeut: 21208 } 
{ year:2015, hour: 5, Pos: 33, Neg: 29, Neut: 36, tPos: 19006, TNeg: 16305, TNeut: 20638 } 
{ year:2015, hour: 6, Pos: 34, Neg: 29, Neut: 36, tPos: 18551, TNeg: 16287, TNeut: 19688 } 
{ year:2015, hour: 7, Pos: 34, Neg: 29, Neut: 36, tPos: 19187, TNeg: 16563, TNeut: 20260 } 
{ year:2015, hour: 8, Pos: 33, Neg: 29, Neut: 36, tPos: 9427, TNeg: 8354, TNeut: 10184 } 
{ year:2015, hour: 9, Pos: 0, Neg: 0, Neut: 0, tPos: 0, TNeg: 0, TNeut: 0 } 
{ year:2015, hour: 10, Pos: 32, Neg: 30, Neut: 36, tPos: 10967, TNeg: 10149, TNeut: 12318 } 
{ year:2015, hour: 11, Pos: 31, Neg: 31, Neut: 37, tPos: 20538, TNeg: 20106, TNeut: 23949 } 
{ year:2015, hour: 12, Pos: 32, Neg: 31, Neut: 36, tPos: 22721, TNeg: 22077, TNeut: 26012 } 
{ year:2015, hour: 13, Pos: 31, Neg: 31, Neut: 37, tPos: 21555, TNeg: 21392, TNeut: 25337 } 
{ year:2015, hour: 14, Pos: 31, Neg: 31, Neut: 37, tPos: 19071, TNeg: 19276, TNeut: 23148 } 
{ year:2015, hour: 15, Pos: 30, Neg: 30, Neut: 38, tPos: 15021, TNeg: 15161, TNeut: 19288 } 
{ year:2015, hour: 16, Pos: 30, Neg: 29, Neut: 39, tPos: 11268, TNeg: 10714, TNeut: 14471 } 
{ year:2015, hour: 17, Pos: 31, Neg: 27, Neut: 40, tPos: 8346, TNeg: 7388, TNeut: 10831 } 
{ year:2015, hour: 18, Pos: 30, Neg: 28, Neut: 41, tPos: 6851, TNeg: 6410, TNeut: 9380 } 
{ year:2015, hour: 19, Pos: 32, Neg: 25, Neut: 41, tPos: 6660, TNeg: 5242, TNeut: 8553 } 
{ year:2015, hour: 20, Pos: 33, Neg: 25, Neut: 40, tPos: 6526, TNeg: 4937, TNeut: 7864 } 
{ year:2015, hour: 21, Pos: 34, Neg: 25, Neut: 40, tPos: 7618, TNeg: 5705, TNeut: 8906 } 
{ year:2015, hour: 22, Pos: 35, Neg: 26, Neut: 37, tPos: 10322, TNeg: 7696, TNeut: 10959 } 
{ year:2015, hour: 23, Pos: 36, Neg: 27, Neut: 35, tPos: 14549, TNeg: 11063, TNeut: 14232 } 
